drug_name,catalog_id,smiles,inchikey,source,target,cas,is_known_ros1_tki,pdbqt_path,mw,tpsa,clogp,hbd,hba,rotatable_bonds,cns_mpo,cns_penetrant
Axitinib (AG 013736),S1005,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,RITAVMQDGBJQJZ-FMIVXFBMSA-N,selleckchem_L1300,"c-Kit,PDGFR,VEGFR",319460-85-0,False,data/ligands/Axitinib__AG_013736_.pdbqt,386.5,70.7,4.64,2,4,5,3.74,True
Selumetinib (AZD6244),S1008,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,CYOHGALHFOKKQC-UHFFFAOYSA-N,selleckchem_L1300,"Apoptosis related,MEK",606143-52-6,False,data/ligands/Selumetinib__AZD6244_.pdbqt,457.7,88.4,3.53,3,5,6,3.31,False
Nintedanib (BIBF 1120),S1010,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,XZXHXSATPCNXJR-ZIADKAODSA-N,selleckchem_L1300,"FGFR,PDGFR,Src,VEGFR",656247-17-5,False,data/ligands/Nintedanib__BIBF_1120_.pdbqt,539.6,94.2,3.62,2,7,7,3.08,False
Bortezomib (PS-341),S1013,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N,selleckchem_L1300,,179324-69-7,False,data/ligands/Bortezomib__PS-341_.pdbqt,384.2,124.4,0.36,4,6,9,2.74,False
Bosutinib (SKI-606),S1014,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,UBPYILGKFZZVDX-UHFFFAOYSA-N,selleckchem_L1300,"Autophagy,Bcr-Abl,ERK,S6 Kinase,Src,STAT",380843-75-4,False,data/ligands/Bosutinib__SKI-606_.pdbqt,530.5,82.9,5.19,1,8,9,2.75,False
Dasatinib (BMS-354825),S1021,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,selleckchem_L1300,"Apoptosis related,Autophagy,Bcr-Abl,c-Kit,Src",302962-49-8,False,data/ligands/Dasatinib__BMS-354825_.pdbqt,488.0,106.5,3.31,3,9,7,2.32,False
"Ridaforolimus (Deforolimus, MK-8669)",S1022,[H][C@@]12CC[C@@H](C)[C@@](O)(O1)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@H]([C@H](C)C[C@@H]1CC[C@@H](OP(C)(C)=O)[C@H](OC)C1)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(\C)[C@@H](OC)C2,BUROJSBIWGDYCN-GAUTUEMISA-N,selleckchem_L1300,"FKBP,mTOR",572924-54-0,False,data/ligands/Ridaforolimus__Deforolimus__MK-8669_.pdbqt,990.2,201.5,7.74,2,14,8,0.75,False
Gefitinib (ZD1839),S1025,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,XGALLCVXEZPNRQ-UHFFFAOYSA-N,selleckchem_L1300,"Apoptosis related,Autophagy,EGFR",184475-35-2,False,data/ligands/Gefitinib__ZD1839_.pdbqt,446.9,68.7,4.28,1,7,8,3.86,True
Imatinib (STI571) Mesylate,S1026,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,YLMAHDNUQAMNNX-UHFFFAOYSA-N,selleckchem_L1300,"Autophagy,Bcr-Abl,c-Kit,PDGFR",220127-57-1,False,data/ligands/Imatinib__STI571__Mesylate.pdbqt,493.6,86.3,4.59,2,7,7,2.63,False
Lapatinib (GW-572016) Ditosylate,S1028,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,UWYXLGUQQFPJRI-UHFFFAOYSA-N,selleckchem_L1300,"EGFR,HER2",388082-77-7,False,data/ligands/Lapatinib__GW-572016__Ditosylate.pdbqt,581.1,106.3,6.14,2,8,11,1.43,False
Lenalidomide (CC-5013),S1029,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,GOTYRUGSSMKFNF-UHFFFAOYSA-N,selleckchem_L1300,"Apoptosis related,Caspase,E3 Ligase ,E3 ligase Ligand,TNF-alpha,VEGFR",191732-72-6,False,data/ligands/Lenalidomide__CC-5013_.pdbqt,259.3,92.5,0.03,2,4,1,5.12,False
Panobinostat (LBH589),S1030,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,FPOHNWQLNRZRFC-ZHACJKMWSA-N,selleckchem_L1300,"Apoptosis related,Autophagy,HDAC,HIV Protease",404950-80-7,False,data/ligands/Panobinostat__LBH589_.pdbqt,349.4,77.2,3.33,4,3,7,4.25,False
Nilotinib (AMN-107),S1033,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,HHZIURLSWUIHRB-UHFFFAOYSA-N,selleckchem_L1300,"AMPK,Autophagy,Bcr-Abl",641571-10-0,False,data/ligands/Nilotinib__AMN-107_.pdbqt,529.5,97.6,6.36,2,6,6,1.87,False
Pazopanib HCl (GW786034 HCl),S1035,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,MQHIQUBXFFAOMK-UHFFFAOYSA-N,selleckchem_L1300,"Autophagy,c-Kit,CSF-1R,FGFR,PDGFR,VEGFR",635702-64-6,False,data/ligands/Pazopanib_HCl__GW786034_HCl_.pdbqt,437.5,119.0,3.14,2,7,5,2.86,False
Rapamycin (AY-22989),S1039,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,QFJCIRLUMZQUOT-HPLJOQBZSA-N,selleckchem_L1300,"Antineoplastic and Immunosuppressive Antibiotics,Autophagy,mTOR",53123-88-9,False,data/ligands/Rapamycin__AY-22989_.pdbqt,914.2,195.4,6.18,3,13,6,0.25,False
Sorafenib (BAY 43-9006) tosylate,S1040,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,IVDHYUQIDRJSTI-UHFFFAOYSA-N,selleckchem_L1300,"Apoptosis related,Autophagy,c-Kit,Ferroptosis,FGFR,FLT3,PDGFR,Raf,VEGFR",475207-59-1,False,data/ligands/Sorafenib__BAY_43-9006__tosylate.pdbqt,464.8,92.3,5.55,3,4,5,2.01,False
Vorinostat (SAHA),S1047,O=C(CCCCCCC(=O)Nc1ccccc1)NO,WAEXFXRVDQXREF-UHFFFAOYSA-N,selleckchem_L1300,"Autophagy,HDAC,HPV",149647-78-9,False,data/ligands/Vorinostat__SAHA_.pdbqt,264.3,78.4,2.47,3,3,8,4.75,False
Entinostat (MS-275),S1053,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,INVTYAOGFAGBOE-UHFFFAOYSA-N,selleckchem_L1300,"Apoptosis related,Autophagy,HDAC",209783-80-2,False,data/ligands/Entinostat__MS-275_.pdbqt,376.4,106.3,3.34,3,5,6,3.5,False
Enzastaurin (LY317615),S1055,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,AXRCEOKUDYDWLF-UHFFFAOYSA-N,selleckchem_L1300,PKC,170364-57-5,False,data/ligands/Enzastaurin__LY317615_.pdbqt,515.6,72.2,4.93,1,4,5,2.8,False
Olaparib (AZD2281),S1060,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,FDLYAMZZIXQODN-UHFFFAOYSA-N,selleckchem_L1300,"Autophagy,Mitophagy,PARP",763113-22-0,False,data/ligands/Olaparib__AZD2281_.pdbqt,434.5,86.4,2.35,1,4,4,4.95,False
Masitinib (AB1010),S1064,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,WJEOLQLKVOPQFV-UHFFFAOYSA-N,selleckchem_L1300,"c-Kit,PDGFR",790299-79-5,False,data/ligands/Masitinib__AB1010_.pdbqt,498.7,73.4,5.26,2,7,7,2.26,False
Vismodegib (GDC-0449),S1082,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,selleckchem_L1300,Hedgehog/Smoothened,879085-55-9,False,data/ligands/Vismodegib__GDC-0449_.pdbqt,421.3,76.1,4.71,1,4,4,3.81,True
Belinostat (PXD101),S1085,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,NCNRHFGMJRPRSK-MDZDMXLPSA-N,selleckchem_L1300,"Autophagy,HDAC",866323-14-0,False,data/ligands/Belinostat__PXD101_.pdbqt,318.4,95.5,2.01,3,4,5,4.47,False
Rucaparib (AG-014699) phosphate,S1098,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,FCCGJTKEKXUBFZ-UHFFFAOYSA-N,selleckchem_L1300,PARP,459868-92-9,False,data/ligands/Rucaparib__AG-014699__phosphate.pdbqt,323.4,56.9,2.98,3,2,3,4.75,False
Everolimus (RAD001),S1120,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,HKVAMNSJSFKALM-JRCHKHJVSA-N,selleckchem_L1300,"Apoptosis related,Autophagy,FKBP,mTOR",159351-69-6,False,data/ligands/Everolimus__RAD001_.pdbqt,958.2,204.7,6.2,3,14,9,0.25,False
Cabozantinib (BMS-907351),S1119,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,ONIQOQHATWINJY-UHFFFAOYSA-N,selleckchem_L1300,"Apoptosis related,Axl,c-Met,VEGFR",849217-68-1,False,data/ligands/Cabozantinib__BMS-907351_.pdbqt,501.5,98.8,5.54,2,6,8,1.81,False
Malotilate,S1137,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,YPIQVCUJEKAZCP-UHFFFAOYSA-N,selleckchem_L1300,Lipoxygenase,59937-28-9,False,data/ligands/Malotilate.pdbqt,288.4,52.6,3.05,0,6,4,5.96,True
Ivacaftor (VX-770),S1144,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,PURKAOJPTOLRMP-UHFFFAOYSA-N,selleckchem_L1300,CFTR,873054-44-5,False,data/ligands/Ivacaftor__VX-770_.pdbqt,392.5,82.2,5.08,3,3,2,2.9,False
