drug_name,score,timestamp
Lenalidomide (CC-5013),-7.75,2026-03-30T18:13:34.604186
Axitinib (AG 013736),-8.83,2026-03-30T18:13:53.973994
Selumetinib (AZD6244),-7.33,2026-03-30T18:14:03.778924
Panobinostat (LBH589),-7.28,2026-03-30T18:14:11.676975
Dasatinib (BMS-354825),-8.33,2026-03-30T18:14:24.592384
Gefitinib (ZD1839),-7.64,2026-03-30T18:14:32.837261
Imatinib (STI571) Mesylate,-8.72,2026-03-30T18:14:40.901668
Pazopanib HCl (GW786034 HCl),-8.82,2026-03-30T18:14:51.205481
Vorinostat (SAHA),-6.35,2026-03-30T18:14:59.566630
Sorafenib (BAY 43-9006) tosylate,-8.59,2026-03-30T18:15:08.392408
Nintedanib (BIBF 1120),-8.47,2026-03-30T18:15:18.008302
Nilotinib (AMN-107),-9.96,2026-03-30T18:15:19.481518
Entinostat (MS-275),-7.84,2026-03-30T18:15:22.679262
Bosutinib (SKI-606),-7.28,2026-03-30T18:15:24.463400
Belinostat (PXD101),-8.28,2026-03-30T18:15:37.448643
Vismodegib (GDC-0449),-7.93,2026-03-30T18:15:42.626884
Olaparib (AZD2281),-9.22,2026-03-30T18:15:47.961228
Malotilate,-5.39,2026-03-30T18:15:55.274621
Rucaparib (AG-014699) phosphate,-6.85,2026-03-30T18:15:58.828787
Lapatinib (GW-572016) Ditosylate,-8.51,2026-03-30T18:16:06.150921
Ivacaftor (VX-770),-8.11,2026-03-30T18:16:16.027641
Enzastaurin (LY317615),-9.81,2026-03-30T18:16:17.978606
Masitinib (AB1010),-8.46,2026-03-30T18:16:27.910984
Capecitabine?(RO 09-1978),-6.87,2026-03-30T18:16:38.112315
Anastrozole (ZD-1033),-7.55,2026-03-30T18:16:51.941384
Cabozantinib (BMS-907351),-8.62,2026-03-30T18:17:00.282408
Regorafenib (BAY 73-4506),-8.88,2026-03-30T18:17:07.294415
Bicalutamide (ICI-176334),-8.31,2026-03-30T18:21:49.794577
Aprepitant (MK-0869),-9.53,2026-03-30T18:22:58.062621
Raltitrexed,-8.1,2026-03-30T18:23:02.303776
Exemestane (FCE 24304),-8.79,2026-03-30T18:23:02.553226
Cladribine (RWJ 26251),-6.61,2026-03-30T18:23:14.710649
Dutasteride,-10.65,2026-03-30T18:23:51.990253
Tivozanib (AV-951),-8.23,2026-03-30T18:24:02.445186
"Fluorouracil (5-Fluorouracil, 5-FU)",-6.23,2026-03-30T18:24:04.520971
Fulvestrant (ICI-182780),-7.54,2026-03-30T18:24:42.511082
Bendamustine (SDX105) HCl,-5.95,2026-03-30T18:25:09.914346
Doxorubicin (Adriamycin) HCl,-7.67,2026-03-30T18:25:16.025368
Nelarabine,-6.06,2026-03-30T18:25:27.438244
Clofarabine,-6.81,2026-03-30T18:25:27.910903
Methotrexate (CL-14377),-7.97,2026-03-30T18:25:32.127983
Dexrazoxane HCl (ICRF-187),-7.06,2026-03-30T18:25:37.819126
Raloxifene HCl,-9.08,2026-03-30T18:26:50.115234
Epirubicin (IMI 28) HCl,-8.45,2026-03-30T18:26:55.172383
Etoposide?(VP-16),-8.18,2026-03-30T18:27:11.657843
Topotecan (NSC609699) HCl,-7.69,2026-03-30T18:27:13.533048
2-Methoxyestradiol (2-MeOE2),-8.21,2026-03-30T18:27:18.706237
Fludarabine Phosphate,-7.06,2026-03-30T18:27:20.849840
Temozolomide (CCRG 81045),-5.87,2026-03-30T18:27:22.338316
Letrozole (CGS 20267),-7.46,2026-03-30T18:27:23.226411
Agomelatine (S20098),-7.84,2026-03-30T18:27:29.649323
Leflunomide (HWA486),-6.63,2026-03-30T18:27:29.840149
Dienogest,-7.87,2026-03-30T18:27:36.802861
Nepafenac,-6.97,2026-03-30T18:27:40.931536
Enzalutamide (MDV3100),-9.02,2026-03-30T18:27:50.801173
Prasugrel,-7.34,2026-03-30T18:28:03.317945
Ramelteon,-7.24,2026-03-30T18:28:03.642745
Celecoxib?(SC 58635),-7.38,2026-03-30T18:28:27.073657
Cinacalcet (AMG-073) HCl,-8.35,2026-03-30T18:28:36.712107
Adapalene,-8.4,2026-03-30T18:29:01.273490
Altretamine,-4.89,2026-03-30T18:29:06.542905
Ritonavir (ABT-538),-8.12,2026-03-30T18:29:12.369349
Aniracetam,-5.96,2026-03-30T18:29:18.286223
Asenapine maleate,-8.18,2026-03-30T18:29:22.419351
Vemurafenib (PLX4032),-8.6,2026-03-30T18:29:24.987213
Amisulpride,-6.61,2026-03-30T18:29:37.664240
Budesonide,-8.36,2026-03-30T18:29:47.421430
Danoprevir (ITMN-191),-6.58,2026-03-30T18:29:55.077371
Carmofur,-6.03,2026-03-30T18:30:01.630097
Bumetanide,-6.71,2026-03-30T18:30:12.662569
Diethylstilbestrol,-6.54,2026-03-30T18:30:24.643576
Cetirizine DiHCl,-6.77,2026-03-30T18:30:36.528567
Diphenhydramine HCl,-6.38,2026-03-30T18:30:53.600328
Dapoxetine HCl,-7.68,2026-03-30T18:31:15.836441
Anagrelide HCl,-7.13,2026-03-30T18:31:19.268916
Antipyrine,-6.23,2026-03-30T18:31:22.820576
Felodipine,-6.45,2026-03-30T18:31:46.847570
