drug_name,g2032r_score,wt_score,met_score
Lomitapide,-10.976,-8.895,-9.754
taletrectinib,-8.676,-8.482,-9.721
Piperaquine phosphate,-9.923,-8.468,-10.211
Enoxolone,-9.859,-8.608,-6.657
Irinotecan (CPT-11),-9.956,-9.579,-9.595
lorlatinib,-8.309,-7.811,-8.701
Tepotinib (EMD 1214063),-9.87,-9.303,-11.281
Tucatinib,-9.994,-8.908,-11.279
umbralisib (TGR-1202),-9.911,-9.341,-11.457
Ubrogepant,-9.998,-9.153,-9.459
Azilsartan Medoxomil,-9.911,-8.966,-10.197
Ceritinib (LDK378),-8.899,-8.462,-8.896
Lorlatinib?(PF-6463922),-9.079,-9.369,-9.528
entrectinib,-9.979,-9.977,-10.188
Repotrectinib (TPX-0005),-7.279,-6.829,-5.707
Crizotinib (PF-02341066),-8.138,-8.613,-10.19
Lomitapide Mesylate,-10.19,-9.716,-10.113
repotrectinib,-7.872,-7.473,-8.677
Nilotinib (AMN-107),-10.097,-9.32,-11.088
Ceritinib dihydrochloride,-8.485,-8.13,-8.763
Dutasteride,-10.637,-9.381,-9.42
Bardoxolone Methyl,-10.337,-9.162,-7.085
Bromocriptine Mesylate,-10.444,-8.924,-8.991
Chlorhexidine diacetate,-10.038,-7.565,-9.133
Irinotecan hydrochloride,-10.057,-9.741,-9.861
Irinotecan (CPT-11) HCl Trihydrate,-9.993,-9.391,-9.513
Entrectinib (RXDX-101),-9.008,-10.171,-10.234
zidesamtinib,-8.931,-9.165,-9.837
Crizotinib hydrochloride,-8.426,-8.625,-10.166
Zafirlukast (ICI-204219),-10.413,-8.445,-10.7
(S)-crizotinib,-8.512,-8.18,-10.221
crizotinib,-8.281,-8.462,-9.584
Meisoindigo,-9.848,-8.468,-9.645
