drug_name,g2032r_score,wt_score,met_score,composite_score,mw,tpsa,clogp,cns_mpo,cns_penetrant,target,is_known_ros1_tki,is_candidate,source
Lomitapide,-10.955,-8.895,-9.754,-11.455,693.7,61.4,8.38,2.25,False,MTP,False,True,selleckchem_L1300
Dutasteride,-10.841,-9.381,-9.42,-11.341,528.5,58.2,6.58,2.25,False,5-alpha Reductase,False,True,selleckchem_L1300
Lomitapide Mesylate,-10.745,-9.716,-10.113,-11.245,693.7,61.4,8.38,2.25,False,MTP,False,True,selleckchem_L1300
entrectinib,-10.662,-9.977,-10.188,-11.162,520.6,76.8,5.51,2.25,False,ROS1,True,False,control
Zafirlukast (ICI-204219),-10.66,-8.445,-10.7,-11.16,575.7,115.7,5.7,0.96,False,LTR,False,True,selleckchem_L1300
Entrectinib (RXDX-101),-10.512,-10.171,-10.234,-11.012,560.6,85.5,5.03,1.75,False,"ALK,Autophagy,ROS1,Trk receptor",True,False,selleckchem_L1300
Tucatinib,-10.367,-8.908,-11.279,-10.867,480.5,110.9,5.09,1.42,False,"EGFR,HER2",False,True,selleckchem_L1300
Bardoxolone Methyl,-10.588,-9.162,-7.085,-10.787999999999998,505.7,84.2,6.38,3.0,False,,False,True,selleckchem_L1300
Irinotecan hydrochloride,-10.271,-9.741,-9.861,-10.771,586.7,114.2,4.09,2.22,False,Topoisomerase,False,True,selleckchem_L1300
Irinotecan (CPT-11) HCl Trihydrate,-10.27,-9.391,-9.513,-10.77,586.7,114.2,4.09,2.22,False,Topoisomerase,False,True,selleckchem_L1300
umbralisib (TGR-1202),-10.262,-9.341,-11.457,-10.762,571.6,109.1,6.66,1.8,False,PI3K,False,True,selleckchem_L1300
Irinotecan (CPT-11),-10.258,-9.579,-9.595,-10.758,586.7,114.2,4.09,2.22,False,Topoisomerase,False,True,selleckchem_L1300
Lorlatinib?(PF-6463922),-9.735,-9.369,-9.528,-10.735,406.4,110.1,2.8,4.25,False,"ALK,Apoptosis related,ROS1",True,False,selleckchem_L1300
Ubrogepant,-10.145,-9.153,-9.459,-10.645,549.6,104.3,3.53,2.64,False,CGRP Receptor,False,True,selleckchem_L1300
Tepotinib (EMD 1214063),-10.143,-9.303,-11.281,-10.643,492.6,96.9,4.01,3.48,False,"Autophagy,c-Met",False,True,selleckchem_L1300
Bromocriptine Mesylate,-10.041,-8.924,-8.991,-10.541,654.6,118.2,3.19,1.69,False,Others,False,True,selleckchem_L1300
Piperaquine phosphate,-10.01,-8.468,-10.211,-10.51,535.5,38.7,5.42,2.91,False,Anti-infection,False,True,selleckchem_L1300
Azilsartan Medoxomil,-9.936,-8.966,-10.197,-10.436,568.5,155.6,4.71,1.47,False,Angiotensin Receptor,False,True,selleckchem_L1300
Fluzoparib (SHR-3162),-9.929,,,-10.429,472.4,96.8,2.92,4.21,False,PARP,False,True,selleckchem_L1300
Nilotinib (AMN-107),-9.926,-9.32,-11.088,-10.426,529.5,97.6,6.36,1.87,False,"AMPK,Autophagy,Bcr-Abl",False,True,selleckchem_L1300
Enoxolone,-10.115,-8.608,-6.657,-10.315,470.7,74.6,6.41,2.56,False,Dehydrogenase,False,True,selleckchem_L1300
