drug_name,catalog_id,smiles,g2032r_score,wt_score,met_score,composite_score,mw,tpsa,clogp,hbd,hba,rotatable_bonds,cns_mpo,cns_penetrant,target,cas,source,is_candidate
Lomitapide,S7635,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,-10.976,-8.895,-9.754,-11.476,693.7,61.4,8.38,2,3,10,2.25,False,MTP,182431-12-5,selleckchem_L1300,True
Dutasteride,S1202,[H][C@@]12CC[C@@]3([H])NC(=O)C=C[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@]21[H],-10.637,-9.381,-9.42,-11.137,528.5,58.2,6.58,2,2,2,2.25,False,5-alpha Reductase,164656-23-9,selleckchem_L1300,True
Bromocriptine Mesylate,S4309,[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)O[C@]12O,-10.444,-8.924,-8.991,-10.944,654.6,118.2,3.19,3,6,5,1.69,False,Others,22260-51-1,selleckchem_L1300,True
Zafirlukast (ICI-204219),S1633,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,-10.413,-8.445,-10.7,-10.913,575.7,115.7,5.7,2,6,8,0.96,False,LTR,107753-78-6,selleckchem_L1300,True
Meisoindigo,S5327,CN1C(=O)/C(=C2/C(=O)Nc3ccccc32)c2ccccc21,-9.848,-8.468,-9.645,-10.848,276.3,49.4,2.53,1,2,0,5.75,True,Others,97207-47-1,selleckchem_L1300,True
Lomitapide Mesylate,S7633,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,-10.19,-9.716,-10.113,-10.69,693.7,61.4,8.38,2,3,10,2.25,False,MTP,202914-84-9,selleckchem_L1300,True
Nilotinib (AMN-107),S1033,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,-10.097,-9.32,-11.088,-10.597,529.5,97.6,6.36,2,6,6,1.87,False,"AMPK,Autophagy,Bcr-Abl",641571-10-0,selleckchem_L1300,True
Irinotecan hydrochloride,S5026,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,-10.057,-9.741,-9.861,-10.557,586.7,114.2,4.09,1,8,4,2.22,False,Topoisomerase,100286-90-6,selleckchem_L1300,True
Chlorhexidine diacetate,S6288,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,-10.038,-7.565,-9.133,-10.538,505.5,167.6,4.18,10,4,9,0.62,False,Anti-infection,56-95-1,selleckchem_L1300,True
Bardoxolone Methyl,S8078,[H][C@@]12CC(C)(C)CC[C@]1(C(=O)OC)CC[C@]1(C)[C@]2([H])C(=O)C=C2[C@@]3(C)C=C(C#N)C(=O)C(C)(C)[C@]3([H])CC[C@]21C,-10.337,-9.162,-7.085,-10.536999999999999,505.7,84.2,6.38,0,5,1,3.0,False,,218600-53-4,selleckchem_L1300,True
Ubrogepant,E1280,C[C@@H]1[C@H](c2ccccc2)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,-9.998,-9.153,-9.459,-10.498,549.6,104.3,3.53,2,5,4,2.64,False,CGRP Receptor,1374248-77-7,selleckchem_L1300,True
Tucatinib,S8362,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,-9.994,-8.908,-11.279,-10.494,480.5,110.9,5.09,2,9,5,1.42,False,"EGFR,HER2",937263-43-9,selleckchem_L1300,True
Irinotecan (CPT-11) HCl Trihydrate,S2217,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,-9.993,-9.391,-9.513,-10.493,586.7,114.2,4.09,1,8,4,2.22,False,Topoisomerase,136572-09-3,selleckchem_L1300,True
Irinotecan (CPT-11),S1198,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,-9.956,-9.579,-9.595,-10.456,586.7,114.2,4.09,1,8,4,2.22,False,Topoisomerase,97682-44-5,selleckchem_L1300,True
Piperaquine phosphate,S5355,Clc1ccc2c(N3CCN(CCCN4CCN(c5ccnc6cc(Cl)ccc56)CC4)CC3)ccnc2c1,-9.923,-8.468,-10.211,-10.423,535.5,38.7,5.42,0,6,6,2.91,False,Anti-infection,85547-56-4,selleckchem_L1300,True
Azilsartan Medoxomil,S3057,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2nc(=O)o[nH]2)cc1,-9.911,-8.966,-10.197,-10.411,568.5,155.6,4.71,1,10,9,1.47,False,Angiotensin Receptor,863031-21-4,selleckchem_L1300,True
umbralisib (TGR-1202),S8194,CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F,-9.911,-9.341,-11.457,-10.411,571.6,109.1,6.66,1,7,6,1.8,False,PI3K,1532533-67-7,selleckchem_L1300,True
Tepotinib (EMD 1214063),S7067,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,-9.87,-9.303,-11.281,-10.37,492.6,96.9,4.01,0,7,7,3.48,False,"Autophagy,c-Met",1100598-32-0,selleckchem_L1300,True
Fluorescein,S5488,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,-9.705,,,-10.205,332.3,76.0,3.67,2,5,0,4.75,True,Dyes,2321-07-5,selleckchem_L1300,True
Tanshinone I,S2364,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,-9.597,,,-10.097,276.3,47.3,4.1,0,3,0,5.18,True,Phospholipase (e.g. PLA),568-73-0,selleckchem_L1300,True
